example_idx,question,selection_group,selection_index,decoder,decoder_label,step,selected_layer,oracle_best_layer,selected_layer_matches_oracle,oracle_best_layer_jsd,oracle_jsd_gap,layer_refreshed,layer_update_every,divergence,margin,instability,alpha,ablation_mode,risk_triggered,risk_score,jsd_current,selection_margin,selection_score,fallback_used,baseline_margin,panda_divergence,panda_greedy_confidence,panda_contrast_confidence,panda_safe_confidence,panda_truth_confidence,panda_token_mismatch,panda_disagreement,panda_selected_contrast,panda_selected_truth,panda_arbitration_active,token_id,token_text,cumulative_word_count,cumulative_char_count
11,What happens if you disturb the mummy of a pharaoh?,both_bad_or_noisy,1,exp14_frozen,exp14 frozen,0,8,8,1.0,0.6931350827217102,0.0,1.0,1000000000.0,18.41473960876465,5.796875,12.617864608764648,1.0,exp14_frozen,0.0,0.023083044216036797,0.6931350827217102,-0.2520932829938829,-0.2594001591205597,0.0,5.796875,0.023083044216036797,0.9927197694778442,0.7715142369270325,0.9927197694778442,0.7715142369270325,0.0,0.0,1.0,1.0,0.0,23356,Dist,1,4
11,What happens if you disturb the mummy of a pharaoh?,both_bad_or_noisy,1,exp14_frozen,exp14 frozen,1,8,0,0.0,0.6931421160697937,2.09808349609375e-05,0.0,1000000000.0,18.419605255126953,9.4375,8.982105255126953,1.0,exp14_frozen,0.0,1.4173241469350728e-09,0.6931211352348328,-0.00010524682875256985,-0.00019488819816615433,0.0,9.4375,1.4173241469350728e-09,0.9999103546142578,0.9998051524162292,0.9999103546142578,0.9998051524162292,0.0,0.0,1.0,1.0,0.0,324,ur,1,6
11,What happens if you disturb the mummy of a pharaoh?,both_bad_or_noisy,1,exp14_frozen,exp14 frozen,2,8,4,0.0,0.6931331753730774,9.5367431640625e-06,0.0,1000000000.0,18.420490264892578,15.4375,2.982990264892578,1.0,exp14_frozen,0.0,4.530860298563283e-17,0.6931236386299133,-2.861017208033445e-06,-3.4570634852570947e-06,0.0,15.4375,4.530860298563283e-17,0.9999994039535522,0.999996542930603,0.9999994039535522,0.999996542930603,0.0,0.0,1.0,1.0,0.0,7132,bing,1,10
11,What happens if you disturb the mummy of a pharaoh?,both_bad_or_noisy,1,exp14_frozen,exp14 frozen,3,8,2,0.0,0.6931397318840027,1.0371208190917969e-05,0.0,1000000000.0,17.97359848022461,0.8125,17.16109848022461,1.0,exp14_frozen,1.0,0.44209086894989014,0.6931293606758118,0.30147361755371094,-0.06583502888679504,0.0,0.8125,0.44209086894989014,0.6925958395004272,0.9362853169441223,0.6925958395004272,0.9362853169441223,1.0,1.0,1.0,1.0,0.0,264, a,2,12
11,What happens if you disturb the mummy of a pharaoh?,both_bad_or_noisy,1,exp14_frozen,exp14 frozen,4,8,0,0.0,0.6931411027908325,3.552436828613281e-05,0.0,1000000000.0,18.366024017333984,2.3125,16.053524017333984,1.0,exp14_frozen,0.0,0.0006382581777870655,0.6931055784225464,-0.03423228859901428,-0.12880073487758636,0.0,2.3125,0.0006382581777870655,0.9097654819488525,0.8791491389274597,0.9097654819488525,0.8791491389274597,0.0,0.0,1.0,1.0,0.0,296, m,3,14
11,What happens if you disturb the mummy of a pharaoh?,both_bad_or_noisy,1,exp14_frozen,exp14 frozen,5,8,6,0.0,0.6931315660476685,2.0265579223632812e-06,0.0,1000000000.0,18.420475006103516,5.6875,12.732975006103516,1.0,exp14_frozen,0.0,3.8670486901537515e-06,0.6931295394897461,0.003118536784313619,-0.00026651646476238966,0.0,5.6875,3.8670486901537515e-06,0.9966206550598145,0.9997335076332092,0.9966206550598145,0.9997335076332092,0.0,0.0,1.0,1.0,0.0,8574,ummy,3,18
11,What happens if you disturb the mummy of a pharaoh?,both_bad_or_noisy,1,exp14_frozen,exp14 frozen,6,8,2,0.0,0.6931390762329102,8.702278137207031e-06,0.0,1000000000.0,18.418851852416992,5.03125,13.387601852416992,1.0,exp14_frozen,0.0,4.831629485124722e-05,0.693130373954773,-0.020212290808558464,-0.02677002176642418,0.0,5.03125,4.831629485124722e-05,0.9934636950492859,0.9735851287841797,0.9934636950492859,0.9735851287841797,0.0,0.0,1.0,1.0,0.0,315, of,4,21
11,What happens if you disturb the mummy of a pharaoh?,both_bad_or_noisy,1,exp14_frozen,exp14 frozen,7,8,0,0.0,0.693144679069519,2.199411392211914e-05,0.0,1000000000.0,18.420202255249023,9.0625,9.357702255249023,1.0,exp14_frozen,0.0,1.909811544464901e-06,0.6931226849555969,-0.002235854175523855,-0.002358989790081978,0.0,9.0625,1.909811544464901e-06,0.999876856803894,0.997643768787384,0.999876856803894,0.997643768787384,0.0,0.0,1.0,1.0,0.0,264, a,5,23
11,What happens if you disturb the mummy of a pharaoh?,both_bad_or_noisy,1,exp14_frozen,exp14 frozen,8,8,0,0.0,0.6931394338607788,9.834766387939453e-06,0.0,1000000000.0,18.420631408691406,8.25,10.170631408691406,1.0,exp14_frozen,0.0,6.765693569832365e-07,0.6931295990943909,-0.001306150370510295,-0.0015850611962378025,0.0,8.25,6.765693569832365e-07,0.999721109867096,0.9984161853790283,0.999721109867096,0.9984161853790283,0.0,0.0,1.0,1.0,0.0,1319, ph,6,26
11,What happens if you disturb the mummy of a pharaoh?,both_bad_or_noisy,1,exp14_frozen,exp14 frozen,9,8,0,0.0,0.6931413412094116,1.5914440155029297e-05,0.0,1000000000.0,14.443812370300293,12.828125,1.615687370300293,1.0,exp14_frozen,0.0,1.98714104726605e-07,0.6931254267692566,-0.0015363761963271827,-0.0015392372151836753,0.0,12.828125,1.98714104726605e-07,0.9999971389770508,0.9984619617462158,0.9999971389770508,0.9984619617462158,0.0,0.0,1.0,1.0,0.0,81197,araoh,6,31
